Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live_x,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off_x,Crs_x,Int_x,TklW_x,PKwon,PKcon,OG,Recov,Won,Lost_x,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Total - Tkl,TklW_y,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers- Tkl,Att_x,Tkl%,Lost_y,Total Blocks,Shots Blocked,Passes Blocked,Int_y,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,TO,GCA - Sh,GCA - Fld,GCA - Def,Att_y,Live_y,Dead,FK_y,TB,Sw,Crs_y,TI,CK,In,Out,Str,Cmp,Off_y,Blocks,position_group
Max Aarons,eng ENG,DF,Bournemouth,25-100,2000,1.0,eng Premier League,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Defender
Max Aarons,eng ENG,"DF,MF",Valencia,25-100,2000,1.2,es La Liga,59,1,17,12,30,0,59,4,1,25.0,2,50.0,30,95,41,0,3,0,2,1,33,8,1,0,0,0,1,0,2,0,3,0,0,0,5,2,1,66.7,29,42,69.0,414,130,16,22,72.7,11,16,68.8,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,4,3,3,2,1,0,3,3,100.0,0,1,0,1,0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,42,35,7,0,0,0,2,7,0,0,0,0,29,0,1,Defender
Rodrigo Abajas,es ESP,DF,Valencia,21-337,2003,0.7,es La Liga,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Defender
James Abankwah,ie IRL,"DF,MF",Udinese,21-088,2004,1.0,it Serie A,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,Defender
Keyliane Abdallah,fr FRA,FW,Marseille,19-009,2006,0.0,fr Ligue 1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Forwards
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-198,1987,10.9,fr Ligue 1,637,126,412,213,14,7,637,7,3,42.9,4,57.1,321,1725,837,4,1,0,8,3,392,3,2,0,0,16,6,0,0,13,11,0,0,0,42,19,10,65.5,436,502,86.9,7924,2394,146,158,92.4,262,286,91.6,23,48,47.9,0,0.1,0.3,-0.1,2,27,0,0,22,17,11,15,2,0,10,16,62.5,6,26,18,8,13,30,56,1,0,2,1,50.0,0.18,0.09,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,6,0.55,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,502,458,42,20,0,0,0,3,0,0,0,0,436,2,1,Defender
Himad Abdelli,dz ALG,"MF,FW",Angers,25-148,1999,26.6,fr Ligue 1,1706,26,237,998,511,42,1702,110,52,47.3,56,50.9,1007,6535,3724,94,75,16,47,40,1243,98,3,0,0,38,30,2,37,21,28,0,0,0,158,12,18,40.0,1187,1436,82.7,18339,5132,623,702,88.7,452,518,87.3,65,124,52.4,1,3.0,3.4,-2.0,34,136,34,2,178,41,28,9,19,13,13,41,31.7,28,20,1,19,21,62,22,2,6,24,6,25.0,0.9,0.23,0.13,0.5,24.1,0,3,4,5.6,2.5,0.1,0.4,0.5,79,2.97,67,2,4,1,3,2,4,0.15,2,0,2,0,0,0,1436,1334,94,36,23,10,37,13,8,4,2,0,1187,8,26,Attacking Midfielders
Mohamed Abdelmoneim,eg EGY,DF,Nice,26-072,1999,7.8,fr Ligue 1,522,60,223,264,37,2,522,4,1,25.0,2,50.0,260,1028,566,3,2,0,2,3,310,3,2,0,0,5,10,0,1,13,13,0,0,0,39,29,16,64.4,386,430,89.8,6868,2171,154,165,93.3,204,220,92.7,21,35,60.0,0,0.0,0.2,0.0,0,30,1,0,41,20,13,11,6,3,13,20,65.0,7,7,3,4,13,33,46,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0.77,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,430,405,25,18,0,7,1,5,0,0,0,0,386,0,1,Defender
Ali Abdi,tn TUN,"DF,MF",Nice,31-115,1993,12.2,fr Ligue 1,714,41,192,280,247,35,714,21,7,33.3,14,66.7,307,1432,743,30,11,8,24,10,393,75,1,0,0,17,11,3,39,15,21,0,0,0,54,18,11,62.1,410,549,74.7,6420,2232,220,257,85.6,151,197,76.6,28,58,48.3,2,1.6,1.4,0.4,16,16,17,6,34,34,21,13,12,9,24,38,63.2,14,18,4,14,15,49,30,0,3,22,8,36.4,1.8,0.66,0.14,0.38,20.1,1,0,0,1.9,1.9,0.09,1.1,1.1,36,2.95,26,3,3,3,0,1,2,0.16,1,1,0,0,0,0,549,451,94,12,0,2,39,82,0,0,0,0,410,4,16,Defender
Saud Abdulhamid,sa KSA,DF,Roma,25-270,1999,2.3,it Serie A,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,0.8,2,4,4,2,9,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,Defender
