Player,Nation,Pos,Squad,Age,Born,90s,Comp,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live_x,Take Ons - Attempted,Succ,Succ%,Tkld,Tkld%,Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off_x,Crs_x,Int_x,TklW_x,PKwon,PKcon,OG,Recov,Won,Lost_x,Won%,Total - Cmp,Total - Att,Total - Cmp%,TotDist,PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Total - Tkl,TklW_y,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Dribblers- Tkl,Att_x,Tkl%,Lost_y,Total Blocks,Shots Blocked,Passes Blocked,Int_y,Tkl+Int,Clr,Err,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCA - PassLive,SCA - PassDead,TO,SCA - Sh,SCA - Fld,SCA - Def,GCA,GCA90,GCA - PassLive,GCA - PassDead,TO.1,GCA - Sh,GCA - Fld,GCA - Def,Att_y,Live_y,Dead,FK_y,TB,Sw,Crs_y,TI,CK,In,Out,Str,Cmp,Off_y,Blocks,position_group,market_value_in_eur
Max Aarons,eng ENG,DF,Bournemouth,25-048,2000,1.0,eng Premier League,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Defender,16000000.0
Max Aarons,eng ENG,MF,Valencia,25-048,2000,0.3,es La Liga,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14,18,77.8,222,48,6,7,85.7,6,9,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18,14,4,0,0,0,2,4,0,0,0,0,14,0,0,Central Midfielders,16000000.0
Rodrigo Abajas,es ESP,DF,Valencia,21-285,2003,0.7,es La Liga,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Defender,1000000.0
James Abankwah,ie IRL,"DF,MF",Udinese,21-036,2004,1.0,it Serie A,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,Defender,300000.0
Keyliane Abdallah,fr FRA,FW,Marseille,18-322,2006,0.0,fr Ligue 1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Forwards,1000000.0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-146,1987,10.8,fr Ligue 1,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3,2,0,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,432,498,86.7,7860,2367,145,157,92.4,259,283,91.5,23,48,47.9,0,0.1,0.3,-0.1,2,27,0,0,22,17,11,15,2,0,10,16,62.5,6,24,17,7,13,30,56,1,0,2,1,50.0,0.18,0.09,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,6,0.55,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,498,456,40,20,0,0,0,1,0,0,0,0,432,2,1,Defender,500000.0
Himad Abdelli,dz ALG,"MF,FW",Angers,25-096,1999,20.7,fr Ligue 1,1374,18,180,780,438,38,1371,84,39,46.4,43,51.2,813,5199,2979,78,59,16,34,30,1017,87,2,0,0,33,25,2,36,16,23,0,0,0,116,10,15,40.0,959,1170,82.0,14535,3923,516,583,88.5,355,409,86.8,49,101,48.5,1,2.8,2.7,-1.8,29,112,27,1,146,32,23,8,13,11,11,30,36.7,19,11,0,11,16,48,16,1,4,20,5,25.0,0.97,0.24,0.1,0.4,24.6,0,2,3,4.2,1.8,0.09,-0.2,0.2,64,3.09,55,2,2,1,2,2,2,0.1,1,0,1,0,0,0,1170,1087,77,31,17,7,36,12,8,4,2,0,959,6,23,Attacking Midfielders,5000000.0
Mohamed Abdelmoneim,eg EGY,DF,Nice,26-020,1999,6.8,fr Ligue 1,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,2,0,0,2,2,234,3,2,0,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,291,332,87.7,5339,1686,105,115,91.3,160,175,91.4,19,32,59.4,0,0.0,0.1,0.0,0,15,1,0,26,17,12,11,5,1,11,18,61.1,7,6,3,3,13,30,39,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0.44,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,332,313,19,15,0,6,0,2,0,0,0,0,291,0,1,Defender,1000000.0
Ali Abdi,tn TUN,"DF,MF",Nice,31-063,1993,9.6,fr Ligue 1,519,38,150,200,173,27,519,15,7,46.7,8,53.3,210,1051,605,26,9,8,16,10,279,58,1,0,0,14,7,2,25,10,16,0,0,0,43,13,10,56.5,294,400,73.5,4659,1672,147,179,82.1,119,153,77.8,18,37,48.6,2,1.4,1.2,0.6,12,11,13,3,29,24,16,10,8,6,19,28,67.9,9,15,4,11,10,34,26,0,2,16,5,31.3,1.66,0.52,0.13,0.4,19.8,0,0,0,1.2,1.2,0.07,0.8,0.8,28,2.9,19,3,3,2,0,1,2,0.21,1,1,0,0,0,0,400,326,70,8,0,2,25,62,0,0,0,0,294,4,11,Defender,3000000.0
Saud Abdulhamid,sa KSA,DF,Roma,25-218,1999,1.6,it Serie A,97,0,18,45,35,3,97,5,2,40.0,1,20.0,62,274,119,4,0,1,2,1,72,18,0,0,0,1,4,0,4,1,1,0,1,0,2,0,1,0.0,77,86,89.5,1142,226,44,47,93.6,31,33,93.9,1,3,33.3,1,0.1,0.2,0.9,1,3,2,1,6,2,1,1,0,1,1,1,100.0,0,1,0,1,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1.91,3,0,0,0,0,0,1,0.64,1,0,0,0,0,0,86,68,18,1,0,0,4,17,0,0,0,0,77,0,1,Defender,4000000.0
